股票代码,公司名称,交易所,主营业务,所属行业,公司亮点,成立日期,注册资本,上市日期,办公地址,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
21,深科技,深交所,为客户提供技术研发、工艺设计、生产制造、供应链管理、物流支持、销售服务以及自主品牌产品产销研等一站式电子产品制造服务。,"消费电子 概念行情贴合度： 存储芯片， 先进封装， 第三代半导体， 超级电容， 储能， 共封装光学(CPO)， 国企改革， 机器人概念， 汽车电子， 区块链， 人民币贬值受益， 融资融券， 深股通， 数字经济， 无人机， 物联网， 芯片概念， 新能源汽车， 虚拟电厂， 央企国企改革， 医疗器械概念， 智能电网， 智能物流 详情>> 对比>> 可比公司() 全部 收起 家未上市公司 全部 收起 市盈率(动态)： 55.028 每股收益：0.35元 [[[0,""0.42""],[1,""0.60""],[2,""0.11""],[3,""0.29""],[4,""0.48""],[5,""0.73""],[6,""0.15""],[7,""0.35""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股收益单位：元 同行业排名第19位 查看明细>> 每股资本公积金：1.72元 [[[0,""1.50""],[1,""1.51""],[2,""1.59""],[3,""1.65""],[4,""1.67""],[5,""1.70""],[6,""1.71""],[7,""1.72""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股资本公积金单位：元 同行业排名第63位 查看明细>> 分类： 大盘股 市盈率(静态)： 52.66 营业总收入： 82.78亿元 同比增长6.96% [[[0,""108.52""],[1,""148.27""],[2,""33.65""],[3,""77.40""],[4,""112.78""],[5,""157.47""],[6,""37.24""],[7,""82.78""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u4ebf\u5143""] 营业总收入单位：亿元 同行业排名第10位 查看明细>> 每股未分配利润：4.75元 [[[0,""3.89""],[1,""4.08""],[2,""4.20""],[3,""4.18""],[4,""4.39""],[5,""4.63""],[6,""4.78""],[7,""4.75""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股未分配利润单位：元 同行业排名第18位 查看明细>> 总股本： 15.85亿股 市净率： 4.46 净利润： 5.43亿元 同比增长20.28% [[[0,""6.61""],[1,""9.30""],[2,""1.79""],[3,""4.52""],[4,""7.56""],[5,""11.36""],[6,""2.42""],[7,""5.43""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u4ebf\u5143""] 净利润单位：亿元 同行业排名第8位 查看明细>> 每股经营现金流：0.07元 [[[0,""1.23""],[1,""1.56""],[2,""0.43""],[3,""0.93""],[4,""1.29""],[5,""1.12""],[6,""0.07""],[7,""0.07""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股经营现金流单位：元 同行业排名第35位 查看明细>> 总市值：598亿 每股净资产：8.46元 [[[0,""7.41""],[1,""7.61""],[2,""7.79""],[3,""7.87""],[4,""8.10""],[5,""8.32""],[6,""8.49""],[7,""8.46""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股净资产单位：元 同行业排名第31位 查看明细>> 毛利率：18.88% [[[0,""16.60""],[1,""16.98""],[2,""16.24""],[3,""15.75""],[4,""16.91""],[5,""18.32""],[6,""17.07""],[7,""18.88""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""""] 毛利率单位：% 同行业排名第34位 查看明细>> 净资产收益率：4.07% [[[0,""5.81""],[1,""8.14""],[2,""1.50""],[3,""4.04""],[4,""6.16""],[5,""9.09""],[6,""1.83""],[7,""4.07""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""""] 净资产收益率单位：% 同行业排名第17位 查看明细>> 流通A股：15.85亿股 以上为中报 您对此栏目的评价： 有用 0 没用 0 提建议 公司名称： 公司简称： 上市场所： 所属行业： 所属地域：",中国电子旗下，国内高端存储芯片封测的龙头企业，主营存储半导体、高端制造、计量智能终端，参股公司昂纳科技为光传输器件与模块国家级制造业单项冠军,,,,,,,,,,,,,,
70,特发信息,深交所,线缆、智慧服务、融合、物业资产经营四大核心板块。,"通信设备 概念行情贴合度： 光纤概念， F5G概念， 共封装光学(CPO)， 2026中报预增， 5G， 6G概念， 阿里巴巴概念， 百度概念， 成飞概念， 传感器， 创投， 大飞机， 低空经济， 东数西算(算力)， 抖音概念(字节概念)， 高铁， 光伏概念， 国企改革， 国资云， 华为概念， 军工， 军工信息化， 绿色电力， 人工智能， 融资融券， 深股通， 深圳国企改革， 数据中心(AIDC)， 数字经济， 算力租赁， 特高压， 腾讯概念， 卫星导航， 无人机， 物联网， 物业管理， 信创， 一带一路， 粤港澳大湾区， 智慧城市， 智慧灯杆， 智慧政务， 智能电网 详情>> 对比>> 可比公司() 全部 收起 家未上市公司 全部 收起 市盈率(动态)： 110.181 每股收益：0.07元 [[[0,""0.0049""],[1,""-0.45""],[2,""-0.02""],[3,""0.0062""],[4,""0.0089""],[5,""-0.55""],[6,""-0.01""],[7,""0.07""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股收益单位：元 同行业排名第11位 查看明细>> 每股资本公积金：1.54元 [[[0,""1.67""],[1,""1.67""],[2,""1.67""],[3,""1.67""],[4,""1.67""],[5,""1.67""],[6,""1.67""],[7,""1.54""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股资本公积金单位：元 同行业排名第9位 查看明细>> 分类： 中盘股 市盈率(静态)： 亏损 营业总收入： 23.55亿元 同比增长19.41% [[[0,""35.39""],[1,""44.09""],[2,""7.90""],[3,""19.72""],[4,""31.84""],[5,""44.17""],[6,""8.30""],[7,""23.55""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u4ebf\u5143""] 营业总收入单位：亿元 同行业排名第6位 查看明细>> 每股未分配利润：-1.47元 [[[0,""-0.49""],[1,""-0.94""],[2,""-0.95""],[3,""-0.93""],[4,""-0.93""],[5,""-1.49""],[6,""-1.50""],[7,""-1.47""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股未分配利润单位：元 同行业排名第13位 查看明细>> 总股本： 8.68亿股 市净率： 12.91 净利润： 0.62亿元 同比增长1007.52% [[[0,""0.04""],[1,""-4.03""],[2,""-0.15""],[3,""0.06""],[4,""0.08""],[5,""-4.96""],[6,""-0.10""],[7,""0.62""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u4ebf\u5143""] 净利润单位：亿元 同行业排名第7位 查看明细>> 每股经营现金流：0.61元 [[[0,""0.16""],[1,""0.41""],[2,""-0.21""],[3,""-0.33""],[4,""-0.39""],[5,""0.12""],[6,""0.25""],[7,""0.61""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股经营现金流单位：元 同行业排名第2位 查看明细>> 总市值：136亿 每股净资产：1.22元 [[[0,""2.12""],[1,""1.67""],[2,""1.65""],[3,""1.68""],[4,""1.67""],[5,""1.13""],[6,""1.11""],[7,""1.22""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""\u5143""] 每股净资产单位：元 同行业排名第12位 查看明细>> 毛利率：22.32% [[[0,""14.11""],[1,""16.63""],[2,""17.03""],[3,""20.76""],[4,""19.02""],[5,""17.11""],[6,""19.25""],[7,""22.32""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""""] 毛利率单位：% 同行业排名第9位 查看明细>> 净资产收益率：5.98% [[[0,""0.23""],[1,""-23.61""],[2,""-1.01""],[3,""0.37""],[4,""0.53""],[5,""-39.53""],[6,""-1.13""],[7,""5.98""]],[[0,""2024\u4e09\u5b63\u62a5""],[1,""2024\u5e74\u62a5""],[2,""2025\u4e00\u5b63\u62a5""],[3,""2025\u4e2d\u62a5""],[4,""2025\u4e09\u5b63\u62a5""],[5,""2025\u5e74\u62a5""],[6,""2026\u4e00\u5b63\u62a5""],[7,""2026\u4e2d\u62a5""]],""""] 净资产收益率单位：% 同行业排名第6位 查看明细>> 流通A股：8.57亿股 更新日期： 2026-08-28 总质押股份数量： 1166.59万股 重要股东质押数量（质押中） 股东名称 质押数量 占所持股份比 占总股本比 陈传荣 1166.59万股 100.00% 1.34% *仅展示上市公司公告披露的股东的质押情况 质押股份占A股总股本比： 1.34% [[""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400"",""1.3400""],[""2026-06-12"",""2026-06-18"",""2026-06-26"",""2026-07-03"",""2026-07-10"",""2026-07-17"",""2026-07-24"",""2026-07-31"",""2026-08-07"",""2026-08-14"",""2026-08-21"",""2026-08-28""]] 质押股份占A股总股本比单位：% *数据来源：中登公司及上市公司最新公布的质押公告 以上为中报 您对此栏目的评价： 有用 0 没用 0 提建议 公司名称： 公司简称： 上市场所： 所属行业： 所属地域：",深圳国资委旗下，深耕光通信行业30余年，高端MPO光连接器市占率居前，电力光缆产品在国网南网中标量综合排名前列,,,,,,,,,,,,,,
100,TCL科技,深交所,半导体显示、新能源光伏和半导体材料业务。,"光学光电子 概念行情贴合度： MicroLED概念， 电子纸， OLED， 2026中报预增， AI PC， AI眼镜， MiniLED， PCB概念， 比亚迪概念， 玻璃基板， 参股银行， ... 详情>> 财务分析： 二线蓝筹 对比>> 可比公司() 全部 收起 家未上市公司 全部 收起 市盈率(动态)： 14.666 每股收益：0.17元 (增发后) [[[0,""0.05""],[1,""0.10""],[2,""0.10""],[3,""0.16""],[4,""0.23""],[5,""0.07""],[6,""0.19""],[7,""0.17""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u5143""] 每股收益单位：元 同行业排名第8位 查看明细>> 每股资本公积金：0.61元 [[[0,""0.53""],[1,""0.53""],[2,""0.50""],[3,""0.72""],[4,""0.68""],[5,""0.66""],[6,""0.64""],[7,""0.61""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u5143""] 每股资本公积金单位：元 同行业排名第34位 查看明细>> 分类： 超大盘股 市盈率(静态)： 24.73 营业总收入： 886.48亿元 同比增长3.61% [[[0,""401.19""],[1,""856.62""],[2,""855.60""],[3,""1360.65""],[4,""1842.11""],[5,""434.78""],[6,""886.87""],[7,""886.48""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u4ebf\u5143""] 营业总收入单位：亿元 同行业排名第2位 查看明细>> 每股未分配利润：1.22元 (增发后) [[[0,""1.20""],[1,""1.20""],[2,""1.14""],[3,""1.13""],[4,""1.20""],[5,""1.27""],[6,""1.29""],[7,""1.22""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u5143""] 每股未分配利润单位：元 同行业排名第20位 查看明细>> 总股本： 219.46亿股 市净率： 1.66 净利润： 38.08亿元 同比增长102.19% [[[0,""10.13""],[1,""18.84""],[2,""18.84""],[3,""30.47""],[4,""45.17""],[5,""15.56""],[6,""38.08""],[7,""38.08""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u4ebf\u5143""] 净利润单位：亿元 同行业排名第2位 查看明细>> 每股经营现金流：0.80元 (增发后) [[[0,""0.64""],[1,""1.45""],[2,""1.38""],[3,""1.63""],[4,""2.12""],[5,""0.55""],[6,""0.85""],[7,""0.80""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u5143""] 每股经营现金流单位：元 同行业排名第4位 查看明细>> 总市值：1117亿 每股净资产：3.06元 [[[0,""2.85""],[1,""2.85""],[2,""2.93""],[3,""2.93""],[4,""2.95""],[5,""3.01""],[6,""3.01""],[7,""3.06""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""\u5143""] 每股净资产单位：元 同行业排名第29位 查看明细>> 毛利率：12.87% [[[0,""13.24""],[1,""13.41""],[2,""13.41""],[3,""12.76""],[4,""13.15""],[5,""12.50""],[6,""12.87""],[7,""12.87""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""""] 毛利率单位：% 同行业排名第28位 查看明细>> 净资产收益率：6.19% [[[0,""1.91""],[1,""3.54""],[2,""3.54""],[3,""5.68""],[4,""7.98""],[5,""2.47""],[6,""6.19""],[7,""6.19""]],[[0,""2025\u4e00\u5b63\u62a5""],[1,""2025\u4e2d\u62a5""],[2,""\u589e\u53d1""],[3,""2025\u4e09\u5b63\u62a5""],[4,""2025\u5e74\u62a5""],[5,""2026\u4e00\u5b63\u62a5""],[6,""2026\u4e2d\u62a5""],[7,""\u589e\u53d1""]],""""] 净资产收益率单位：% 同行业排名第2位 查看明细>> 流通A股：201.15亿股 最新解禁： 2027-08-31 解禁股份类型： 定向增发机构配售股份 解禁数量： 11.46亿股 公告解禁数量为上市公司公告符合解禁条件的股份数量。实际可售为公告解禁数量除去股权质押、高管禁售等部分，实际可以在市场出售的股份数量。 解禁时间 公告解禁 实际可售 解禁股成本 2026-07-10 9.86亿 9.86亿 4.28 2026-02-24 10.35亿 10.35亿 4.12 2023-06-26 30.87亿 30.87亿 2.89 历史解禁详情表 占总股本比例： 5.22% 更新日期： 2026-08-28 总质押股份数量： 1.44亿股 重要股东质押数量（质押中） 股东名称 质押数量 占所持股份比 占总股本比 宁波九天联成股权投资合伙企业(有限合伙) 1.53亿股 41.73% 0.74% 湖北省长江合志汉翼股权投资基金合伙企业(有限合伙) 2.10亿股 26.38% 1.01% *仅展示上市公司公告披露的股东的质押情况 质押股份占A股总股本比： 0.66% [[""0.7400"",""0.7400"",""0.7400"",""0.7400"",""0.7400"",""0.6900"",""0.6900"",""0.6900"",""0.6900"",""0.6900"",""0.6900"",""0.6600""],[""2026-06-12"",""2026-06-18"",""2026-06-26"",""2026-07-03"",""2026-07-10"",""2026-07-17"",""2026-07-24"",""2026-07-31"",""2026-08-07"",""2026-08-14"",""2026-08-21"",""2026-08-28""]] 质押股份占A股总股本比单位：% *数据来源：中登公司及上市公司最新公布的质押公告 以上为2026年08月份增发后 二线蓝筹条件[成分股] 问财百科： 蓝筹股(blue chip)是指稳定的现金股利政策对公司现金流管理有较高的要求，通常将那些经营业绩较好，具有稳定且较高的现金股利支付的公司股票，多指长期稳定增长的、大型的、传统工业股及金融股。 您对此栏目的评价： 有用 0 没用 0 提建议 公司名称： 公司简称： 上市场所： 所属行业： 所属地域：",主营半导体显示、新能源光伏和半导体材料，全球半导体显示龙头企业，显示器面板出货量全球第二，电竞MNT、LTPS笔电、LTPS平板等品类市占率全球第一,,,,,,,,,,,,,,
