股票代码,公司名称,营业总收入,营收同比增长率,净利润,净利润同比增长率,总资产,资产负债率,毛利率,净利率,员工人数,报告期
2642,荣联科技,,,,,,,,,,
2645,华宏科技,,,,,,,,,,
2649,博彦科技,,,,,,,,,,
2654,万润科技,,,,,,,,,,
2674,兴业科技,,,,,,,,,,
2681,奋达科技,,,,,,,,,,
2715,登云股份,,,,,,,,,,
2690,美亚光电,,,,,,,,,,
2729,好利科技,,,,,,,,,,
2741,光华科技,,,,,,,,,,
2730,电光科技,,,,,,,,,,
2765,蓝黛科技,,,,,,,,,,
2767,先锋电子,,,,,,,,,,
2796,世嘉科技,,,,,,,,,,
2779,中坚科技,,,,,,,,,,
2815,崇达技术,,,,,,,,,,
2813,路畅科技,,,,,,,,,,
2823,凯中精密,,,,,,,,,,
2831,裕同科技,,,,,,,,,,
2849,威星智能,,,,,,,,,,
2855,捷荣技术,,,,,,,,,,
2859,洁美科技,,,,,,,,,,
2866,传艺科技,,,,,,,,,,
2869,金溢科技,,,,,,,,,,
2877,智能自控,,,,,,,,,,
2879,长缆科技,,,,,,,,,,
2881,美格智能,,,,,,,,,,
2888,惠威科技,,,,,,,,,,
2908,德生科技,,,,,,,,,,
2916,深南电路,,,,,,,,,,
2921,联诚精密,,,,,,,,,,
2925,盈趣科技,,,,,,,,,,
2935,天奥电子,,,,,,,,,,
2937,兴瑞科技,,,,,,,,,,
2951,金时科技,,,,,,,,,,
2952,亚世光电,,,,,,,,,,
2955,鸿合科技,,,,,,,,,,
2957,科瑞技术,,,,,,,,,,
2962,五方光电,,,,,,,,,,
2965,祥鑫科技,,,,,,,,,,
2970,锐明技术,,,,,,,,,,
2976,瑞玛精密,,,,,,,,,,
2979,雷赛智能,,,,,,,,,,
2981,朝阳科技,,,,,,,,,,
2990,盛视科技,,,,,,,,,,
2992,宝明科技,,,,,,,,,,
2993,奥海科技,,,,,,,,,,
3007,直真科技,,,,,,,,,,
3015,日久光电,,,,,,,,,,
3018,金富科技,,,,,,,,,,
3019,宸展光电,,,,,,,,,,
3025,思进智能,,,,,,,,,,
3026,中晶科技,,,,,,,,,,
3027,同兴科技,,,,,,,,,,
3028,振邦智能,,,,,,,,,,
3031,中瓷电子,,,,,,,,,,
3043,华亚智能,,,,,,,,,,
300007,汉威科技,,-15.61%,,46.08%,,38.80%,34.06%,3.45%,,一季报
300011,鼎汉技术,,-5.38%,,-0.51%,,59.97%,27.60%,-5.65%,,一季报
300017,网宿科技,,-9.66%,,-37.06%,,11.95%,37.08%,10.83%,,一季报
300019,硅宝科技,,8.27%,,-35.12%,,30.88%,17.82%,5.46%,,一季报
300022,吉峰科技,,5.20%,,-3.14%,,64.48%,10.17%,1.67%,,一季报
300031,宝通科技,,25.47%,,102.86%,,33.06%,38.72%,9.45%,,一季报
300036,超图软件,,-20.89%,,3.54%,,30.26%,60.88%,-22.93%,,一季报
300042,朗科科技,,107.84%,,744.43%,,34.18%,25.25%,16.81%,,一季报
