股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
300561,汇金科技,8.79,-230.07,40.11,9.33,-0.42,16.64,,0
300551,古鳌科技,8.17,23.02,37.28,6.04,2.06,11.39,,0
300552,万集科技,5.08,-41.18,30.09,2.69,2.68,21.81,,0
300565,科信技术,2.92,-32.08,23.19,4.98,1.4,10.16,,0
300567,精测电子,3.36,468.99,492.52,10.9,0.61,216.92,,0
300566,激智科技,10.71,34.92,61.18,2.81,-3.23,26.99,,0
300579,数字认证,2.3,-119.48,61.21,8.35,0.74,23.29,,0
300578,会畅科技,7.98,-63.37,33.2,2.93,11.3,16.75,,0
300571,平治信息,7.61,-18.97,35.06,3.47,5.53,30.32,,0
300588,熙菱信息,5.98,-99.75,40.65,18.32,7.43,22.99,,0
300585,奥联电子,3.4,-33.06,28.58,4.57,-2.45,16.7,,0
300587,天铁科技,5.05,-55.35,52.84,2.86,4.15,5.02,,0
300598,诚迈科技,8.83,-107.71,74.15,5.17,1.76,34.18,,0
300590,移为通信,4.26,40.38,41.18,2.81,2.04,11.51,,0
300597,吉大通信,1.86,-26.64,21.89,2.37,1.77,8.06,,0
300600,国瑞科技,1.41,-58.42,30.04,2.54,-0.49,10.21,,0
300603,立昂技术,3.77,-23.32,30.14,3.01,2.03,8.06,,0
300599,雄塑科技,4.32,-71.2,36.84,2.14,2.74,11.62,雄塑科技(300599)历史资金流向一览 | 雄塑科技(300599) | 雄塑科技(300599.SZ) | 雄塑科技(300599)盘口异动_行情_走势图—东方财富网 | (300599) 雄塑科技:拟披露中报,5
300605,恒锋信息,7.15,-26.55,13.35,4.23,3.63,10.56,,0
300604,长川科技,2.75,96.43,1365.79,20.65,0.69,279.03,,0
300609,汇纳科技,2.03,-21.41,30.67,3.57,0.08,25.58,,0
300611,美力科技,5.72,29.69,37.97,4.19,2.89,25.6,,0
300615,欣天科技,11.35,-43.92,22.93,6.42,0.88,14.98,,0
300620,光库科技,4.8,290.95,789.0,35.21,2.93,319.0,,0
300628,亿联网络,1.91,18.18,300.51,5.7,2.99,41.4,,0
300624,万兴科技,11.28,-93.42,88.87,10.43,9.91,51.9,,0
300648,星云股份,1.64,-36.39,54.71,5.88,3.81,40.29,,0
300656,民德电子,2.73,-26.67,34.6,5.61,0.83,25.64,,0
300657,弘信电子,7.01,82.78,178.14,11.51,7.37,37.29,,0
300659,中孚信息,3.3,-23.13,19.08,2.41,-1.13,10.46,,0
300666,江丰电子,5.5,85.64,540.5,9.24,1.78,244.08,,0
300663,科蓝软件,7.77,-8.69,38.81,14.68,-0.94,8.43,,0
300667,必创科技,3.15,-32.94,26.51,2.94,2.54,14.95,,0
300670,大烨智能,8.16,-14.34,16.07,5.14,6.24,7.15,,0
300674,宇信科技,2.91,23.12,120.25,2.57,-0.06,17.1,,0
300678,中科信息,1.3,411.33,65.66,7.88,1.49,22.43,,0
300679,电连技术,6.23,90.96,179.27,4.21,-0.84,49.87,,0
300682,朗新科技,1.09,-99.37,99.26,1.62,0.52,9.6,,0
300680,隆盛科技,2.22,26.96,45.79,2.96,-0.34,20.23,,0
300684,中石科技,10.08,79.71,193.32,13.66,3.17,94.5,,0
300690,双一科技,12.63,21.05,27.56,2.45,3.35,24.7,,0
300687,赛意信息,8.9,-176.99,100.96,4.51,12.0,30.06,,0
300691,联合光电,2.07,109.59,33.55,2.5,1.88,15.2,,0
300698,万马科技,2.2,75.03,32.37,6.56,2.51,26.93,,0
300692,中赋科技,3.13,69.95,47.65,1.59,1.45,9.07,,0
300709,精研科技,23.25,-582.88,72.38,4.04,16.16,48.3,,0
300710,万隆光电,6.69,-107.72,23.28,7.24,1.89,31.21,,0
300708,聚灿光电,2.54,46.63,58.3,2.61,2.26,8.16,,0
300720,海川智能,8.84,768.2,132.33,24.06,-1.84,71.86,,0
300725,药石科技,7.13,49.88,91.12,2.31,-1.21,44.95,,0
300711,广哈通信,2.43,62.18,45.76,3.44,-0.05,18.42,,0
300735,光弘科技,1.79,69.38,159.64,3.08,2.24,20.99,,0
300726,宏达电子,5.39,53.28,117.68,4.59,4.06,54.88,,0
300730,科创信息,2.42,-22.86,24.17,21.0,0.26,11.69,,0
300736,百邦科技,2.28,-146.68,37.72,60.68,0.87,30.2,,0
300738,奥飞数据,4.46,83.35,200.82,5.48,-0.88,20.39,,0
300739,明阳电路,2.71,98.93,71.32,3.17,3.47,23.54,,0
300747,锐科激光,5.95,90.13,207.54,6.31,5.8,39.76,,0
300745,欣锐科技,4.79,-158.65,41.39,2.19,2.43,29.1,,0
300752,隆利科技,4.55,93.4,26.01,2.95,3.83,11.65,,0
300768,迪普科技,1.75,47.99,63.18,2.74,0.6,15.02,,0
300767,震安科技,3.43,-56.58,47.02,3.54,4.26,19.6,,0
300763,锦浪科技,3.42,43.47,198.78,2.65,-1.18,61.81,,0
300771,智莱科技,2.43,24.96,22.46,1.43,0.17,11.88,,0
300777,中简科技,1.18,178.63,99.24,2.29,1.14,23.03,,0
300776,帝尔激光,3.29,66.15,207.25,6.68,2.83,115.58,,0
300793,佳禾智能,2.27,-25.3,44.02,1.61,4.05,11.83,,0
300786,国林科技,6.23,-148.82,22.37,2.54,1.67,15.25,,0
300784,利安科技,3.77,60.58,7.16,2.93,1.03,42.27,,0
300800,力合科技,1.35,50.74,24.34,1.2,0.87,10.39,,0
300801,泰和科技,2.83,31.93,31.86,1.9,-0.43,23.16,,0
300802,矩子科技,5.61,68.56,49.84,4.66,4.9,24.63,,0
300807,天迈科技,2.33,-64.94,20.15,6.0,0.0,38.8,,0
300823,建科智能,5.42,36.28,13.14,2.09,0.07,15.15,,0
300814,中富电路,2.87,513.7,261.88,16.02,1.95,136.8,,0
300828,锐新科技,4.0,101.37,15.88,3.54,1.27,16.75,,0
300835,龙磁科技,3.22,127.08,138.15,13.96,3.68,165.3,,0
300829,金丹科技,2.18,48.6,25.47,1.41,0.2,15.15,,0
300853,申昊科技,4.03,-22.87,27.9,8.59,5.03,28.38,,0
300840,酷特智能,9.46,124.17,35.77,3.79,9.57,20.15,,0
300836,佰奥智能,3.4,46.17,32.03,7.33,3.02,50.48,,0
300857,协创数据,4.73,50.2,1278.66,21.29,3.87,263.7,,0
300862,蓝盾光电,10.67,-151.98,76.24,4.74,-1.14,50.33,,0
300872,天阳科技,2.3,-59.07,65.96,2.13,-0.76,15.63,,0
300880,迦南智能,3.85,80.83,39.98,3.75,-1.16,20.49,,0
300882,万胜智能,0.65,51.57,38.08,3.23,0.35,14.3,,0
300891,惠云钛业,2.17,-50.72,25.48,2.5,-0.65,7.64,,0
300895,铜牛信息,7.66,-97.16,37.25,10.59,3.21,54.6,,0
300907,康平科技,4.69,137.23,51.5,6.42,6.79,53.65,,0
300897,山科智能,2.45,759.41,19.64,3.28,2.52,16.3,,0
300916,朗特智能,3.9,73.0,26.39,2.81,-1.46,25.7,,0
300915,海融科技,5.07,-295.27,12.05,1.76,-0.14,20.92,,0
300911,亿田智能,16.96,-31.64,45.63,4.58,20.01,26.63,,0
300925,法本信息,1.6,72.34,51.55,2.81,0.89,14.75,,0
300920,润阳科技,2.33,287.62,28.7,3.67,3.26,33.24,,0
300921,南凌科技,4.68,119.28,26.21,5.04,3.38,16.19,,0
300926,博俊科技,1.35,10.01,53.31,2.11,1.47,17.89,,0
300936,中英科技,13.05,992.65,40.92,6.42,2.46,85.89,,0
300941,创识科技,2.79,134.4,19.41,2.46,-0.07,15.31,,0
300951,博硕科技,2.61,867.98,113.82,5.88,-1.49,75.18,,0
300952,恒辉安防,2.17,58.62,24.57,2.3,1.47,16.54,,0
300953,震裕科技,2.55,31.15,162.26,4.61,0.12,92.71,,0
300964,本川智能,5.07,122.34,52.42,6.15,4.97,60.67,,0
300960,通业科技,1.7,56.66,22.76,3.79,0.0,17.3,,0
300968,格林精密,2.1,-45.29,43.65,2.49,3.43,10.56,,0
300976,达瑞电子,4.52,35.74,71.86,3.04,4.57,59.7,,0
300975,商络电子,10.54,25.64,133.13,6.53,3.54,26.92,,0
300978,东箭科技,0.96,30.2,25.69,2.4,0.67,8.95,,0
300993,玉马科技,1.09,24.25,24.49,1.99,0.8,10.1,,0
301000,肇民科技,1.04,42.75,56.14,4.58,1.2,24.45,,0
300996,普联软件,14.66,82.59,47.51,4.39,2.74,14.26,,0
301003,江苏博云,5.26,57.97,45.84,5.13,-0.67,61.0,,0
301011,华立科技,1.51,-31.12,22.11,2.81,1.34,15.07,,0
301008,宏昌科技,10.63,105.69,47.59,3.47,8.58,41.15,,0
301020,密封科技,1.19,32.52,31.68,3.13,2.03,21.64,,0
301012,扬电科技,2.12,94.86,46.21,3.87,0.82,23.46,,0
301021,英诺激光,5.45,164.38,123.13,11.72,2.01,80.64,,0
301045,天禄科技,3.49,253.02,61.72,7.29,1.45,68.05,,0
301046,能辉科技,5.73,-94.36,32.81,3.89,7.74,25.2,,0
301026,浩通科技,4.24,19.79,33.72,2.7,-2.18,21.07,,0
301051,信濠光电,4.68,-25.5,40.63,2.7,0.95,17.99,,0
301065,本立科技,2.32,27.2,17.47,1.54,1.81,20.25,,0
301049,超越科技,2.35,-16.66,7.56,3.89,1.89,21.01,,0
301083,百胜智能,2.12,136.93,12.35,3.04,1.28,14.2,,0
301099,雅创电子,5.29,29.85,59.67,6.21,2.39,51.9,,0
301067,显盈科技,4.53,-37.52,20.21,3.93,3.27,30.61,,0
301106,骏成科技,4.86,62.34,29.02,2.3,2.84,20.3,,0
301110,青木科技,3.07,28.98,32.23,2.95,1.06,35.37,,0
301107,瑜欣电子,2.93,66.19,18.94,3.5,0.47,23.34,,0
301115,联检科技,4.21,-163.47,46.22,2.31,7.35,30.98,,0
301113,雅艺科技,2.75,268.42,12.71,3.1,3.14,17.74,,0
301112,信邦智能,1.31,-37.12,34.48,3.03,4.62,31.27,,0
301128,强瑞技术,7.82,102.71,156.17,18.5,8.87,122.59,,0
301123,奕东电子,7.19,-351.47,132.45,6.67,6.01,80.25,,0
301121,紫建电子,2.69,-1789.45,27.98,2.17,3.82,36.45,,0
301135,瑞德智能,1.7,285.87,17.86,1.91,1.55,17.72,,0
301132,满坤科技,5.52,57.98,37.18,3.23,4.58,39.24,,0
301129,瑞纳智能,4.87,25.35,16.02,1.77,1.41,23.74,,0
301157,华塑科技,5.72,115.67,12.89,3.38,4.89,62.4,,0
301150,中一科技,7.23,60.49,122.9,3.52,3.45,40.45,,0
301148,嘉戎技术,1.41,149.3,30.49,3.48,-0.44,51.79,,0
301170,锡南科技,2.07,28.8,8.87,1.31,1.66,23.34,,0
301179,泽宇智能,2.61,47.96,48.82,3.33,-0.48,20.56,,0
301165,锐捷网络,2.28,151.1,1417.99,26.57,6.64,127.33,,0
301185,鸥玛软件,2.81,50.67,24.67,2.48,4.03,17.56,,0
301180,万祥科技,1.66,-187.09,20.06,3.79,2.26,12.22,,0
301182,凯旺科技,3.49,-44.24,61.89,10.9,0.03,70.82,,0
301190,善水科技,4.98,40.17,37.19,2.2,-3.17,20.45,,0
301189,奥尼电子,4.61,-116.66,85.53,4.21,-0.66,54.15,,0
301193,家联科技,5.2,-46.98,36.69,2.24,6.92,19.92,,0
301208,中亦科技,2.57,66.55,20.73,2.36,0.85,30.75,,0
301205,联特科技,10.08,517.53,258.54,24.57,-3.72,308.93,,0
301196,唯科科技,6.77,63.28,102.84,4.71,1.39,95.4,,0
301213,观想科技,1.49,452.69,29.75,5.85,1.86,41.1,,0
301210,金杨精密,5.21,46.79,15.23,2.1,2.91,24.75,,0
301218,华是科技,24.17,-223.88,41.69,7.31,20.0,58.14,,0
301221,光庭信息,2.04,1530.71,25.73,1.86,1.52,28.8,,0
301226,祥明智能,2.3,595.71,32.9,3.62,6.18,30.24,,0
301232,飞沃科技,10.51,912.81,66.26,7.97,8.9,105.85,,0
301237,和顺科技,2.59,-27.39,31.84,3.78,0.61,54.66,,0
301248,杰创智能,5.03,-1104.42,67.12,6.03,4.64,59.75,,0
301252,同星科技,2.63,67.38,49.19,4.51,3.31,36.25,,0
301255,通力科技,0.98,135.84,27.27,2.98,2.87,20.4,,0
301261,恒工精密,1.64,46.81,58.85,3.63,2.29,56.27,,0
301265,华新科技,4.0,93.18,47.76,2.8,5.61,19.58,,0
301275,汉朔科技,1.18,31.59,127.23,4.24,0.05,42.29,,0
301278,快可电子,3.74,112.04,15.74,1.83,1.71,29.11,,0
301279,金道科技,1.43,52.79,28.25,2.67,3.54,21.65,,0
301280,珠城科技,1.78,32.29,42.37,4.13,1.02,42.61,,0
301295,美硕科技,7.39,79.87,11.53,4.04,-0.05,39.23,,0
301282,金禄电子,12.42,82.39,64.61,4.4,8.0,36.59,,0
301302,华如科技,2.27,-15.61,29.92,2.36,2.04,21.53,,0
301305,朗坤科技,2.6,19.33,30.83,1.52,0.81,24.79,,0
301311,昆船智能,0.6,-26.37,33.0,1.96,0.0,13.75,,0
301316,慧博云通,2.76,138.5,149.85,14.29,-1.19,38.3,,0
301322,绿通科技,2.9,-900.76,39.88,2.07,1.47,41.45,,0
301320,豪江智能,1.6,-722.27,16.0,2.41,1.97,14.01,,0
301326,捷邦科技,3.01,-143.3,78.81,6.59,5.11,109.34,,0
301328,维峰电子,2.27,90.87,63.43,4.4,2.36,55.08,,0
301329,信音电子,4.99,48.41,13.11,2.15,2.21,19.85,,0
301330,熵基科技,3.26,30.11,52.66,1.77,0.67,25.73,,0
301337,亚华电子,1.83,-160.74,27.12,2.55,3.38,26.61,,0
301336,趣睡科技,3.33,85.42,16.38,2.53,0.2,40.78,,0
301348,蓝箭电子,3.38,-224.11,42.28,3.54,1.96,21.85,,0
301355,南王科技,2.94,-49.31,14.79,1.39,1.16,10.44,,0
301359,东南电子,2.96,60.59,13.2,2.67,2.65,18.56,,0
301360,荣旗科技,8.64,85.32,19.96,3.43,4.14,58.6,,0
301361,众智科技,1.32,33.41,15.42,2.54,1.22,27.37,,0
301362,民爆光电,7.72,125.11,46.61,6.78,1.74,113.83,,0
301366,一博科技,6.25,136.0,67.72,5.5,3.1,57.88,,0
301368,丰立智能,1.44,-141.88,46.92,3.33,3.11,39.07,,0
301369,联动科技,3.33,315.54,75.86,9.1,1.88,138.3,,0
301373,凌玮科技,10.69,85.69,76.98,7.06,-1.01,110.51,,0
301376,致欧科技,3.13,21.84,41.13,2.43,1.19,21.24,,0
301379,天山电子,5.54,60.01,47.93,4.21,2.53,21.92,,0
301389,隆扬电子,4.65,192.21,174.21,7.8,0.11,61.45,,0
301396,宏景科技,9.94,383.22,260.54,30.11,4.47,184.12,,0
301399,英特科技,36.73,372.5,12.81,3.34,5.64,23.42,,0
301418,协昌科技,3.41,1240.47,11.31,1.68,2.23,36.68,,0
301421,波长光电,4.91,185.64,48.81,7.67,1.77,80.38,,0
301456,盘古智能,1.91,37.89,16.32,1.61,1.23,23.81,,0
301458,钧崴电子,5.47,76.77,46.14,6.37,0.87,39.27,,0
301479,弘景光电,2.74,34.93,35.55,4.77,3.14,49.86,,0
301486,致尚科技,5.84,-302.15,130.45,8.9,2.67,178.9,,0
301491,汉桑科技,3.25,28.09,15.2,2.36,2.82,39.74,,0
301499,维科精密,1.08,63.71,35.28,2.7,2.82,25.52,,0
301502,华阳智能,4.36,139.11,12.66,3.67,3.12,53.48,,0
301503,智迪科技,1.73,40.11,12.87,2.18,2.34,22.32,,0
301510,固高科技,3.87,101.92,110.89,7.81,5.08,29.18,,0
301511,德福科技,14.55,182.38,389.04,14.55,7.83,97.59,,0
301512,智信精密,2.38,114.61,15.72,2.39,3.3,32.27,,0
301513,尚水智能,3.96,55.08,9.42,3.59,-1.16,46.75,,0
301525,儒竞科技,1.98,111.45,28.91,1.63,1.68,40.05,,0
301529,福赛科技,3.32,95.33,72.53,9.29,-0.09,114.1,,0
301536,星宸科技,11.84,52.75,246.16,14.29,12.89,131.5,,0
301539,宏鑫科技,1.74,-122.66,11.88,3.03,1.67,15.23,,0
301548,崇德科技,6.82,36.77,17.19,3.24,1.74,58.9,,0
301556,托普云农,7.11,54.26,18.31,5.26,-1.97,62.1,,0
301557,常友科技,2.75,70.17,21.81,5.3,1.62,87.68,,0
301563,云汉芯城,10.98,50.42,24.04,7.9,2.36,125.61,,0
301567,贝隆精密,4.64,-190.4,7.89,3.68,3.02,37.13,,0
301577,美信科技,5.76,-77.74,11.16,3.65,3.55,59.24,,0
301578,辰奕智能,5.51,375.99,7.32,2.79,2.79,24.3,,0
301588,美新科技,7.0,104.78,21.17,3.6,2.6,28.86,,0
301589,诺瓦星云,1.68,21.33,49.74,3.26,0.85,144.31,,0
301595,太力科技,2.91,102.67,16.14,4.73,-3.09,39.53,,0
301599,理奇智能,5.82,61.83,18.98,6.91,-0.34,34.69,,0
301601,惠通科技,2.61,52.57,12.19,1.76,1.1,16.55,,0
301603,乔锋智能,9.3,36.86,51.31,6.18,6.77,135.99,,0
301606,绿联科技,2.35,24.91,85.29,6.01,-0.15,51.69,,0
301607,富特科技,7.6,32.11,63.68,5.18,-1.73,41.95,,0
301611,珂玛科技,5.05,202.04,146.36,23.46,1.42,99.85,,0
301618,长联科技,2.37,134.92,15.83,4.38,0.74,32.88,,0
301628,强达电路,15.06,64.58,29.83,6.49,12.98,102.64,,0
301631,壹连科技,3.92,28.81,28.07,3.17,2.19,64.38,,0
301633,港迪技术,11.58,113.75,15.42,3.76,11.11,60.42,,0
301638,南网数字,3.3,86.48,55.75,6.36,-1.02,22.28,,0
301662,宏工科技,16.8,87.32,33.6,5.76,-4.7,75.35,,0
301669,高特电子,4.5,106.15,22.72,7.67,0.18,27.74,,0
301682,宏明电子,3.64,53.68,28.66,2.74,-0.06,111.58,,0
301696,三瑞智能,5.77,74.82,29.61,19.98,2.5,98.44,,0
600004,白云机场,0.49,17.31,182.0,0.96,-1.03,7.69,,0
600072,中船科技,1.17,-3.93,94.47,1.8,-2.02,8.72,,0
600081,东风科技,0.35,88.41,57.57,1.23,0.0,10.41,,0
600096,云天化,2.81,10.76,573.15,2.26,-0.44,31.44,,0
600143,金发科技,0.98,30.06,370.19,1.91,-0.43,14.05,,0
600152,维科技术,2.18,-46.7,44.28,2.72,0.12,8.37,,0
600155,华创云信,1.77,40.35,137.9,0.68,-1.27,6.23,,0
600183,生益科技,4.31,71.73,3699.62,20.14,5.32,153.4,,0
600184,光电股份,2.04,194.79,106.35,3.11,0.39,18.25,,0
600203,福日电子,4.34,508.89,64.93,3.78,2.24,10.95,,0
600228,返利科技,7.37,-63.24,36.86,10.03,6.62,8.86,,0
600237,铜峰电子,3.12,47.85,53.84,2.75,1.53,8.62,,0
600239,ST云城,1.31,-12.82,22.96,2.09,-1.38,1.43,,0
600271,航天信息,0.48,-15.56,127.66,0.99,-0.43,6.89,,0
600288,大恒科技,5.06,26.74,49.58,2.47,0.35,11.35,,0
600332,白云山,0.47,12.95,287.08,0.85,0.0,20.42,,0
600345,长江通信,4.71,24.94,107.37,3.99,-0.59,50.75,,0
600353,旭光电子,8.98,179.5,303.34,15.89,5.69,36.6,,0
600363,联创光电,4.87,19.24,73.81,1.6,-10.01,16.37,,0
600360,华微电子,5.71,55.2,101.41,2.85,1.54,10.56,,0
600375,汉马科技,1.28,115.71,56.02,1.81,-2.05,3.83,,0
600378,昊华科技,13.95,40.2,568.57,3.66,-0.56,53.01,,0
600391,航发科技,3.17,200.85,113.89,6.36,1.08,34.5,,0
600480,凌云股份,0.69,14.33,100.45,1.25,0.36,8.28,,0
600487,亨通光电,7.78,39.69,1653.27,4.93,-1.92,67.38,,0
600498,烽火通信,8.0,168.59,539.93,3.28,3.11,42.46,,0
600520,三佳科技,12.41,361.79,41.48,10.41,6.81,26.18,,0
600522,中天科技,5.07,32.26,1200.68,3.12,0.4,35.18,,0
600536,中国软件,4.1,1527.54,285.83,8.82,0.33,33.88,,0
600545,卓郎智能,2.75,-15.93,77.95,3.11,1.16,4.36,,0
600552,凯盛科技,5.82,123.76,173.71,4.01,2.85,18.39,,0
600562,国睿科技,1.88,65.77,376.16,5.57,4.56,30.29,,0
600563,法拉电子,1.4,24.11,290.52,4.77,0.6,129.12,,0
600582,天地科技,0.59,18.22,200.72,0.8,-2.41,4.85,,0
600570,恒生电子,1.05,33.83,416.6,4.29,0.14,22.0,,0
600584,长电科技,4.13,69.9,1355.48,4.68,1.09,75.75,,0
600586,金晶科技,1.23,-7.49,60.1,1.24,-2.08,4.24,,0
600588,用友网络,2.53,-25.61,351.61,5.23,0.39,10.29,,0
600589,大位科技,6.6,-76.96,120.64,21.13,3.16,8.16,,0
600602,云赛智联,2.8,127.99,201.65,5.22,0.48,18.77,,0
600601,方正科技,3.54,62.6,533.38,10.41,3.73,12.79,,0
600590,泰豪科技,2.58,168.99,72.46,2.32,2.51,8.59,,0
600658,电子城,1.81,-2.4,45.41,0.91,-0.25,4.06,,0
600691,潞化科技,5.81,-13.93,76.73,2.39,9.86,3.23,,0
600699,均胜电子,1.26,21.73,267.41,1.79,0.79,19.16,,0
600703,三安光电,1.71,-104.06,653.06,1.88,-0.23,13.09,,0
600728,佳都科技,1.01,146.75,101.72,1.29,0.63,4.77,,0
600725,云维股份,1.15,-157.44,42.03,16.4,0.0,3.41,,0
600751,海航科技,0.99,119.01,80.54,1.21,-0.32,3.13,,0
600756,浪潮软件,3.12,-19.51,47.25,2.34,1.11,14.58,,0
600776,东方通信,1.17,29.97,124.76,4.07,0.93,13.05,,0
600792,云煤能源,2.68,-7.81,44.62,1.95,1.52,4.02,,0
600794,保税科技,0.82,-41.99,38.88,1.55,-0.31,3.24,,0
600831,广电网络,2.93,-1.53,24.81,45.54,4.18,3.49,,0
600844,金煤科技,15.03,-52.31,32.25,50.3,2.89,3.92,,0
600845,宝信软件,0.62,38.82,376.66,4.55,0.23,17.65,,0
600846,同济科技,0.36,29.78,74.28,1.72,0.0,11.89,,0
600850,电科数字,0.92,41.39,119.82,2.48,0.41,14.68,,0
600866,星湖科技,1.25,34.11,72.77,0.95,-0.68,4.38,,0
600877,电科芯片,0.79,651.52,146.59,5.88,1.56,12.38,,0
600879,航天电子,3.18,521.2,489.29,2.35,3.85,14.83,,0
600936,北投科技,3.98,-338.52,86.56,8.47,2.37,5.18,,0
600883,博闻科技,4.81,77.19,19.1,1.94,1.13,8.09,,0
600980,北矿科技,1.43,27.79,37.7,2.51,-0.99,19.92,,0
600986,浙文互联,5.41,-69.53,110.96,2.2,4.34,7.46,,0
600990,四创电子,1.75,-13.65,51.62,3.57,1.53,19.19,,0
600996,贵广网络,2.4,-6.86,89.52,6.95,4.97,7.18,,0
601208,东材科技,7.72,129.59,527.21,8.55,1.77,52.19,,0
601008,连云港,0.82,28.84,54.96,1.31,-1.12,4.43,,0
601218,吉鑫科技,1.78,25.52,44.09,1.44,0.44,4.55,,0
601231,环旭电子,1.1,31.76,647.16,2.89,0.37,27.09,,0
601615,明阳智能,1.38,149.19,240.4,0.92,0.28,10.63,,0
601777,千里科技,0.56,285.59,375.7,3.64,0.97,8.31,,0
603002,宏昌电子,7.23,340.45,198.92,5.72,-0.74,17.54,,0
601778,晶科科技,1.87,692.5,136.26,0.83,-1.35,3.66,,0
603004,鼎龙科技,2.95,40.03,11.44,2.18,1.73,19.43,,0
603005,晶方科技,3.49,59.75,201.65,4.36,2.38,30.92,,0
603007,顺景科技,12.14,-30.45,35.24,15.5,-5.59,5.07,,0
603009,北特科技,2.56,129.57,165.44,8.12,3.62,47.76,,0
603011,合锻智能,16.72,-45.29,132.5,7.13,-3.07,26.8,,0
603015,弘讯科技,1.1,114.42,45.56,3.29,0.71,11.27,,0
603025,大豪科技,0.63,18.24,152.84,5.57,0.36,13.78,,0
603032,德新科技,5.34,63.71,46.81,3.95,2.29,20.1,,0
603031,安孚科技,2.07,48.17,133.29,5.28,1.34,40.7,,0
603039,泛微网络,9.44,38.25,129.18,4.82,3.91,41.99,,0
603042,华脉科技,3.14,-131.77,29.77,3.49,1.42,14.26,,0
603052,可川科技,2.57,-299.34,112.95,10.78,3.23,60.11,,0
603068,博通集成,11.19,111.51,59.67,3.34,9.99,39.31,,0
603082,北自科技,21.05,50.82,18.09,4.25,-0.02,44.6,,0
603083,剑桥科技,6.11,146.88,517.0,7.38,-2.45,187.6,,0
603095,越剑智能,5.24,80.47,42.36,1.8,-3.42,16.4,,0
603105,芯能科技,2.62,31.87,38.1,1.84,0.0,7.62,,0
603106,恒银科技,4.1,168.86,41.38,3.14,0.25,7.95,,0
603113,金能科技,7.71,-8.68,51.5,0.68,9.96,6.07,,0
603125,常青科技,0.84,41.53,94.61,3.68,0.6,23.37,,0
603130,云中马,0.85,49.96,54.4,3.81,-0.48,39.56,,0
603135,中重科技,1.79,-1404.98,58.61,1.98,1.86,9.31,,0
603138,海量数据,1.83,-39.44,37.72,5.05,2.59,13.08,,0
603151,邦基科技,3.36,62.62,28.76,2.14,4.87,16.79,,0
603160,汇顶科技,1.86,36.69,241.43,2.59,5.97,51.81,,0
603163,圣晖集成,2.26,49.55,80.41,6.88,-0.92,80.41,,0
603175,超颖电子,3.94,-345.08,42.6,16.21,0.9,93.69,,0
603181,皇马科技,0.67,17.12,77.06,2.13,-0.23,13.09,,0
603192,汇得科技,1.35,48.78,29.26,1.61,3.09,20.99,,0
603197,保隆科技,2.47,18.63,62.82,1.92,-0.7,29.75,,0
603203,快克智能,2.88,95.23,147.75,10.18,2.93,45.29,,0
603212,赛伍技术,1.94,-25.44,50.84,2.12,-1.53,11.62,,0
603206,嘉环科技,0.85,109.27,42.97,1.89,1.66,14.08,,0
603217,元利科技,2.27,26.98,62.74,1.79,0.74,30.15,,0
603220,中贝通信,3.14,244.84,101.32,2.66,1.94,18.89,,0
603228,景旺电子,3.07,81.67,947.54,7.04,2.76,96.49,,0
603227,雪峰科技,0.63,15.68,82.52,1.56,-1.66,7.7,,0
603236,移远通信,5.73,25.81,249.87,3.48,9.99,61.64,,0
603248,锡华科技,2.76,49.97,12.89,3.62,-0.88,18.02,,0
603232,格尔软件,4.8,-48.81,35.53,2.83,-0.45,15.36,,0
603256,宏和科技,2.19,270.17,1298.04,45.26,6.02,147.55,,0
603258,电魂网络,1.53,-12.24,32.07,1.69,4.24,13.29,,0
603261,立航科技,5.19,-23.35,43.51,8.88,-1.51,56.14,,0
603267,鸿远电子,2.6,40.08,114.36,2.5,2.38,49.49,,0
603273,天元智能,5.49,137.79,8.44,3.6,2.17,15.06,,0
603275,众辰科技,1.36,29.64,15.39,1.8,1.09,37.06,,0
603286,日盈电子,5.24,-91.94,53.77,6.76,7.45,46.0,,0
603306,华懋科技,3.71,246.92,257.96,7.25,1.6,78.29,,0
603296,华勤技术,3.02,23.95,651.65,3.85,4.35,81.6,,0
603322,超讯科技,2.27,-73.01,40.91,13.03,2.85,25.96,,0
603324,盛剑科技,2.6,-26.22,39.82,2.44,2.67,27.3,,0
603325,博隆技术,2.17,16.9,19.16,1.63,3.62,56.06,,0
603327,福蓉科技,3.27,70.2,101.83,4.22,0.93,9.74,,0
603328,依顿电子,1.41,35.72,111.73,2.65,2.1,11.19,,0
603337,杰克科技,0.55,20.98,179.01,3.38,1.43,38.33,,0
603339,四方科技,2.72,27.05,46.35,1.69,2.18,14.98,,0
603341,龙旗科技,2.2,41.06,99.87,2.67,1.36,37.35,,0
603358,华达科技,2.86,-818.35,229.59,6.83,10.0,49.72,,0
603376,大明电子,3.98,62.34,8.29,6.05,0.47,25.89,,0
603382,海阳科技,2.41,35.7,22.9,2.0,0.61,19.83,,0
603383,顶点软件,1.29,30.33,59.87,4.13,-0.92,29.15,,0
603386,骏亚科技,1.36,-88.58,47.35,3.58,2.47,14.51,,0
603459,红板科技,27.25,85.32,75.08,15.94,10.0,94.97,,0
603448,天博智能,,22.96,,2.04,0.0,62.65,,0
