股票代码,公司名称,总市值(亿),流通市值(亿),市盈率,市净率,涨跌幅(%),当前价,近期新闻,新闻数量
002052,同洲电子,1.67,-669.78,61.08,23.77,-0.23,8.86,,0
002053,云南能投,0.55,36.93,85.81,1.13,-1.38,9.32,,0
002059,云南旅游,1.2,-12.76,46.45,4.99,0.21,4.69,,0
002063,远光软件,1.21,35.02,97.12,2.63,1.1,5.49,,0
002065,东华软件,1.77,49.61,207.97,1.83,1.73,7.06,,0
002080,中材科技,2.26,44.17,895.28,4.39,1.79,53.35,,0
002066,瑞泰科技,1.12,-51.42,51.21,8.58,-0.63,22.17,,0
002090,金智科技,1.38,53.78,37.67,2.43,0.53,9.46,,0
002112,三变科技,3.0,570.74,39.91,5.15,0.46,15.23,,0
002097,山河智能,1.0,166.51,78.01,1.69,-0.68,7.27,,0
002093,国脉科技,0.75,-431.24,69.82,1.86,1.02,6.93,,0
002115,三维通信,8.67,257.4,82.54,4.29,4.05,11.06,,0
002121,科陆电子,2.0,-14.91,71.13,43.23,1.61,5.04,,0
002119,康强电子,7.43,74.46,89.58,6.23,2.67,23.87,,0
002132,恒星科技,5.78,77.21,62.82,1.79,0.45,4.49,,0
002123,梦网科技,2.6,-20.35,58.87,4.48,1.11,8.17,,0
002138,顺络电子,4.1,41.09,383.56,6.15,1.83,50.05,,0
002153,石基信息,1.39,-123.95,126.38,3.28,1.67,7.9,,0
002140,东华科技,0.75,12.05,65.04,1.34,-0.86,9.2,,0
002148,北纬科技,2.39,1560.54,29.0,2.92,1.9,6.43,,0
002157,正邦科技,1.41,-18.82,235.19,2.75,0.0,3.02,,0
002174,游族网络,2.38,-80.71,116.83,2.51,0.51,11.93,,0
002169,智光电气,3.08,44.76,102.04,3.74,10.01,13.41,,0
002178,延华智能,1.4,-426.91,33.31,7.82,0.43,4.68,,0
002179,中航光电,0.79,40.16,738.99,3.05,0.2,35.25,,0
002180,奔图科技,0.46,-76.41,236.04,2.66,0.47,17.15,,0
002195,岩山科技,1.71,432.43,362.78,3.7,1.1,6.46,,0
002185,华天科技,4.42,43.72,567.09,2.98,0.77,17.05,,0
002190,成飞集成,4.29,-105.25,92.55,2.65,-0.73,25.8,,0
002197,证通电子,3.68,-12.72,37.27,2.4,1.75,6.98,,0
002202,金风科技,1.9,24.66,616.87,1.97,-0.38,18.34,,0
002199,东晶电子,2.05,-89.79,29.39,18.46,1.11,12.73,,0
002222,福晶科技,5.72,100.14,330.05,17.48,3.45,70.5,,0
002214,大立科技,1.72,-42.75,73.68,7.47,3.08,15.4,,0
002232,启明信息,1.07,176.17,59.48,4.19,0.76,14.56,,0
002238,天威视讯,1.25,-25.49,53.85,2.79,2.29,6.71,,0
002257,立立电子,,18.89,,4.68,0.0,21.81,,0
002250,联化科技,1.85,26.68,134.4,1.95,-3.41,15.01,,0
